n;modelName;mean_x;sd_x;sd_epsilon;x0;trueCondMean;h;estimError;computationTime
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.001";"-0.0312434798003495";"0.0200000000186265"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.002";"-0.0368448276596199";"0.0299999999988358"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.005";"0.00932430456733924";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.01";"0.000802569813257881";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.02";"-0.00609117197217535";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.05";"0.00764121846281696";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.1";"0.0422874602633561";"0.0100000000093132"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.2";"0.123306658766266";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.5";"0.744704947244849";"0.0100000000093132"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.001";"0.115828596324291";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.002";"-0.000473667855837023";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.005";"0.0109046319945496";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.01";"-0.0190295393286056";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.02";"-0.00625487902691413";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.05";"0.00216140848240509";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.1";"0.0335375083264795";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.2";"0.119355930348262";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.5";"0.776891228879185";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.001";"-0.0233203099646164";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.002";"-0.00232907350597089";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.005";"0.00846401944269082";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.01";"-0.018621139831449";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.02";"0.0024538647983221";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.05";"0.00446468528055632";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.1";"0.0165628425508437";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.2";"0.108538506036302";"0.0199999999895226"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.5";"0.762183884935558";"0.0100000000093132"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.001";"0.0460585877064357";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.002";"0.0386198799874147";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.005";"0.0152512016388042";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.01";"-0.00608197113917541";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.02";"-0.00152983051376709";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.05";"0.0128497234476637";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.1";"0.0401816604436773";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.2";"0.123297112206518";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.5";"0.77067293412183";"0.0100000000093132"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.001";"0.0836723990754888";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.002";"-0.0472720552819377";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.005";"0.0181640631758127";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.01";"0.00538115174579801";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.02";"-0.00102744340655014";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.05";"0.0160799899990924";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.1";"0.0329070883760643";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.2";"0.131078410179502";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.5";"0.742245472293833";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.001";"-0.0033359729111434";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.002";"-0.0113866292051878";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.005";"-0.013051701453528";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.01";"0.003804115040559";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.02";"-0.00885138776339378";"0"
